"UNITID","ADM_RATE","HIGHDEG","PREDDEG","WOMENONLY","UGDS","UGDS_WOMEN","SATMT25","SATMT75","SATMTMID","PCIP42","PCIP45","PCIP26","PCIP11","PCIP29","PCIP41","PCIP40","PCIP27","PCIP14","PCIP15","WOMEN_TOTAL","ENG_DEG_PCNT","MATH_DEG_PCNT","SCIENCE_DEG_PCNT","TECH_DEG_PCNT","STEM_DEG_PCNT","STEM_DEG_TOTAL","STEM_DEG_WOMEN","MN_EARN_WNE_MALE0_P6","COUNT_WNE_MALE0_P6"
"120184",0.7771,"4",3,0,1177,0.6669,528,520,470,0.166,0.1004,0.1429,0.0116,0,0,0,0,0,0,785,0,0,0.4093,0.0116,0.4209,495,248,48800,208
"120254",0.4204,"4",3,0,2023,0.5541,685,700,655,0.0664,0.3223,0.1133,0,0,0,0.0566,0.0254,0,0,1121,0,0.0254,0.5586,0,0.584,1181,590,36100,161
"120403",0.6648,"4",3,0,1090,0.6716,559,590,515,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,34600,232
"120537",0.31,"4",3,0,816,0.5502,523,490,452,0.0711,0.0569,0,0,0,0,0,0,0,0,449,0,0,0.128,0,0.128,104,52,29800,136
"120865",0.4744,"4",3,0,1583,0.5629,545,580,505,0.0483,0,0.0992,0,0,0,0.0051,0.0076,0,0,891,0,0.0076,0.1526,0,0.1602,254,127,43700,247
"120883",0.549,"4",3,0,3802,0.5158,645,683,607,0.0443,0.0832,0.1059,0.0368,0,0,0.0162,0.0054,0.1178,0.0162,1961,0.134,0.0054,0.2496,0.0368,0.4258,1619,810,59600,730
"121150",0.3546,"4",3,0,3434,0.5911,665,680,625,0.0843,0.1004,0.0372,0,0,0,0.0062,0.0112,0,0,2030,0,0.0112,0.2281,0,0.2393,822,411,54700,403
"121309",0.6953,"4",3,0,2560,0.6383,610,620,560,0.0816,0.051,0.0867,0.0068,0,0,0.0102,0.0119,0.0068,0,1634,0.0068,0.0119,0.2295,0.0068,0.255,653,326,43000,491
"121345",0.1219,"3",3,0,1635,0.5064,750,770,730,0.0844,0.1739,0.1816,0.0384,0,0,0.087,0.0793,0,0,828,0,0.0793,0.5269,0.0384,0.6446,1054,527,35300,64
"121691",0.7309,"4",3,0,3710,0.5695,610,600,550,0.0463,0.0546,0.0352,0.0093,0,0,0.0074,0.0167,0,0,2113,0,0.0167,0.1435,0.0093,0.1695,629,314,39000,552
"122409",0.3448,"4",3,0,27824,0.5497,620,620,565,0.0844,0.1222,0.0398,0.0116,0,0,0.0105,0.0128,0.0582,0.0037,15295,0.0619,0.0128,0.2569,0.0116,0.3432,9549,4774,36200,4324
"122436",0.4625,"4",3,0,5656,0.552,665,670,620,0.0687,0.1421,0.0757,0.0023,0,0,0.0101,0.0078,0.0531,0,3122,0.0531,0.0078,0.2966,0.0023,0.3598,2035,1018,48400,674
"122597",0.6597,"4",3,0,25170,0.5643,559,560,500,0.053,0.0969,0.0594,0.0101,0,0,0.0079,0.0077,0.0253,2e-04,14203,0.0255,0.0077,0.2172,0.0101,0.2605,6557,3278,37500,3647
"122612",0.6005,"4",3,0,6745,0.6222,645,630,580,0.0717,0.1089,0.0445,0.0193,0,0,0.0153,0.008,0,0,4197,0,0.008,0.2404,0.0193,0.2677,1806,903,52800,893
"122728",0.7581,"4",3,0,1131,0.58,545,550,490,0.3019,0.0453,0,0,0,0,0,0,0,0,656,0,0,0.3472,0,0.3472,393,196,28500,95
"122755",0.5985,"4",3,0,26528,0.4823,585,600,535,0.0578,0.0683,0.0258,0.0234,0,0,0.0145,0.0088,0.0853,0.0061,12794,0.0914,0.0088,0.1664,0.0234,0.29,7693,3846,41900,2519
"122931",0.4935,"4",3,0,5447,0.4959,690,710,665,0.0728,0.1644,0.0601,0.0083,0,0,0.012,0.012,0.1794,0,2701,0.1794,0.012,0.3093,0.0083,0.509,2773,1386,50800,491
"123457",0.5736,"4",3,0,1065,0.6592,585,560,515,0.2281,0,0.0188,0,0,0,0,0,0,0,702,0,0,0.2469,0,0.2469,263,132,30900,311
"123554",0.7595,"4",3,0,2949,0.5866,610,610,555,0.1141,0.1215,0.0519,0,0,0,0.0163,0.0119,0.003,0,1730,0.003,0.0119,0.3038,0,0.3187,940,470,40600,456
"123572",0.8002,"4",3,0,8441,0.6211,559,550,495,0.0899,0.1422,0.0414,0.0191,0,0,0.0207,0.0158,0.0033,0,5243,0.0033,0.0158,0.2942,0.0191,0.3324,2806,1403,35400,1194
"123651",0.58,"4",3,0,1941,0.6605,528,530,475,0.1686,0.0543,0.0155,0,0,0,0,0.0136,0,0,1282,0,0.0136,0.2384,0,0.252,489,244,32600,436
"123961",0.1802,"4",3,0,18392,0.5055,735,760,710,0.0416,0.1265,0.0618,0.0233,0,0,0.0065,0.0112,0.0965,0,9297,0.0965,0.0112,0.2364,0.0233,0.3674,6757,3378,57700,1955
"125727",0.7936,"3",3,0,1297,0.6022,633,640,580,0.056,0.0773,0.0987,0.008,0,0,0.0293,0.008,0.016,0,781,0.016,0.008,0.2613,0.008,0.2933,380,190,30600,155
"125763",0.6188,"4",3,0,1624,0.5517,605,590,540,0.1117,0.1526,0.0708,0,0,0,0.0245,0.0218,0,0,896,0,0.0218,0.3596,0,0.3814,619,310,32200,165
"126182",0.6529,"4",3,0,2110,0.4844,570,560,509,0.0603,0.0948,0.0216,0,0,0,0.0302,0.0151,0,0,1022,0,0.0151,0.2069,0,0.222,468,234,24700,441
"126562",0.7299,"4",3,0,10786,0.5298,605,610,550,0.101,0.1297,0.1028,0.0101,0,0,0.0169,0.0164,0.0685,0,5714,0.0685,0.0164,0.3504,0.0101,0.4454,4804,2402,46700,1711
"126580",0.924,"4",3,0,9310,0.5243,605,600,545,0.0941,0.1246,0.0782,0.0285,0,0,0.0179,0.0106,0.0603,0,4881,0.0603,0.0106,0.3148,0.0285,0.4142,3856,1928,32100,918
"126614",0.8416,"4",3,0,25873,0.4405,650,660,600,0.0949,0.1352,0.1141,0.0168,0,0,0.0218,0.0185,0.1093,0,11397,0.1093,0.0185,0.366,0.0168,0.5106,13211,6606,34700,2023
"126775",0.3647,"4",3,0,4383,0.2663,720,720,680,0,0.0079,0,0.0394,0,0,0.0315,0.0472,0.874,0,1167,0.874,0.0472,0.0394,0.0394,1,4383,2192,63400,142
"126818",0.8048,"4",3,0,22373,0.5154,633,630,575,0.0447,0.0915,0.0975,0.0196,0,0,0.015,0.0096,0.0684,0.0233,11531,0.0917,0.0096,0.2487,0.0196,0.3696,8269,4134,32400,2429
"127060",0.7649,"4",3,0,5629,0.5354,660,660,610,0.0684,0.1619,0.0778,0.0197,0,0,0.0197,0.0118,0.0204,0,3014,0.0204,0.0118,0.3278,0.0197,0.3797,2137,1068,45000,832
"127185",0.9082,"3",3,0,3609,0.4849,580,565,515,0.0883,0.1306,0.0697,0.005,0,0,0.056,0.0137,0.0199,0,1750,0.0199,0.0137,0.3446,0.005,0.3832,1383,692,25900,498
"127556",0.8227,"4",3,0,8413,0.5344,559,540,490,0.0375,0.0166,0.0375,0.0332,0,0,0.0166,0.0101,0,0.0144,4496,0.0144,0.0101,0.1082,0.0332,0.1659,1396,698,27900,965
"127565",0.6511,"4",3,0,20583,0.5331,567,570,510,0.0877,0.041,0.059,0.0049,0,0,0.0156,0.0141,0,0.0193,10973,0.0193,0.0141,0.2033,0.0049,0.2416,4973,2486,30800,2482
"127741",0.7088,"4",3,0,9104,0.637,585,590,530,0.0647,0.0685,0.0219,0,0,0,0.0262,0.0171,0,0,5799,0,0.0171,0.1813,0,0.1984,1806,903,32200,1735
"127918",0.9604,"4",3,0,4914,0.6099,585,590,530,0.0413,0.0473,0.0361,0.0451,0,0,0.003,0.0053,0,0,2997,0,0.0053,0.1277,0.0451,0.1781,875,438,47400,1071
"128106",0.9278,"4",3,0,4227,0.5247,567,540,495,0.073,0.1437,0.0353,0.0353,0,0,0.0094,0.0141,0.0153,0.0224,2218,0.0377,0.0141,0.2614,0.0353,0.3485,1473,736,30900,697
"128391",0.9741,"4",3,0,1936,0.3972,445,507,424,0.0812,0.1041,0.1066,0,0,0,0.0305,0.0178,0,0,769,0,0.0178,0.3224,0,0.3402,659,330,26400,231
"128744",0.6072,"4",3,0,3021,0.6548,520,490,450,0.125,0.0387,0.0211,0,0,0,0,0.0053,0.0035,0,1978,0.0035,0.0053,0.1848,0,0.1936,585,292,35100,473
"128771",0.6044,"4",3,0,9600,0.472,573,560,510,0.0708,0.1464,0.0568,0.0177,0,0,0.0086,0.0166,0.0193,0.0638,4531,0.0831,0.0166,0.2826,0.0177,0.4,3840,1920,33300,1101
"129020",0.4996,"4",3,0,18016,0.4963,680,690,640,0.077,0.1184,0.0843,0.0056,0,0,0.0103,0.0182,0.0835,0,8941,0.0835,0.0182,0.29,0.0056,0.3973,7158,3579,43600,2356
"129525",0.7213,"4",3,0,4956,0.4998,559,560,500,0.0512,0.0198,0.0132,0.0083,0,0,0.0107,0.005,0.0536,0.0784,2477,0.132,0.005,0.0949,0.0083,0.2402,1190,595,34000,779
"129941",0.8086,"4",3,0,4974,0.4962,595,590,535,0.0431,0.0086,0.0651,0.0115,0,0.0019,0.0258,0.001,0.0545,0,2468,0.0545,0.001,0.1426,0.0134,0.2115,1052,526,37500,541
"130183",0.8707,"4",3,0,6594,0.5939,493,480,430,0.0334,0.0029,0.0079,0,0,0,0,0,0,0,3916,0,0,0.0442,0,0.0442,291,146,34800,350
"130226",0.6591,"4",3,0,6503,0.6017,610,610,555,0.0652,0.0437,0.0437,0.0285,0,0,0.0014,0.0139,0,0,3913,0,0.0139,0.154,0.0285,0.1964,1277,638,50400,1022
"130493",0.7154,"4",3,0,8133,0.6031,520,510,460,0.1068,0.0534,0.03,0.015,0,0,0.0132,0.012,0,0,4905,0,0.012,0.2034,0.015,0.2304,1874,937,35100,1346
"130776",0.4003,"4",3,0,5206,0.5375,559,540,490,0.0905,0.0471,0.0277,0.0111,0,0,0.0102,0.0102,0,0,2798,0,0.0102,0.1755,0.0111,0.1968,1025,512,35900,690
"130794",0.063,"4",3,0,5473,0.4902,760,800,750,0.0647,0.2626,0.1004,0.0246,0,0,0.0417,0.026,0.0573,0,2683,0.0573,0.026,0.4694,0.0246,0.5773,3160,1580,70300,509
